Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
Aircraft Systems Engineering - Project Course (Co-learning) (TMAL08 2021-01-11 Lin 1086853),2020,HT,4.33,4.67,4.67,4.0,4.0,4.33,TMAL08
Akademiskt skrivande med fördjupad teori och metod (711G62 2021-01-18 Lin 1267873),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,711G62
Aktiebolagsrätt (Samläsning) (747A08 2020-04-27 Lin 1087867),2020,VT,4.5,4.3,4.6,3.5,4.5,3.7,747A08
Aktivitetsperspektiv på hälsa och rehabilitering (8FA175 2020-10-26 Nor 937223),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8FA175
Aktivitetsperspektiv på hälsa och rehabilitering (8MM139 2020-10-24 Lin 937588),2020,HT,5.0,5.0,5.0,5.0,5.0,5.0,8MM139
Aktuella informatikteman – fördjupning i IT och management (725A34 2021-01-11 Lin 934294),2020,HT,4.4,4.4,4.4,3.6,4.8,4.4,725A34
Algoritmisk problemlösning (Samläsning) (TDDD95 2020-06-01 Lin 1087344),2020,VT,4.14,4.57,4.57,4.57,4.71,4.29,TDDD95
Allmän farmakologi (8FG006 2021-01-11 Lin 936428),2020,HT,4.71,4.71,4.86,4.33,5.0,4.29,8FG006
Allmän förberedande kurs del I (8KULA1 2020-11-21 Lin 937564),2020,HT,5.0,4.8,5.0,4.8,5.0,4.6,8KULA1
Allmän förberedande kurs del I (VFU) (8KULA1 2020-09-14 Lin 937564),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8KULA1
Allmän förberedande kurs del II (8KULA2 2021-01-09 Lin 937566),2020,HT,4.75,4.75,4.75,4.75,4.5,4.75,8KULA2
Allmän förberedande kurs del II (VFU) (8KULA2 2020-11-30 Lin 937566),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8KULA2
Allmän kemi 1 (Samläsning) (NKEA02 2020-10-05 Lin 1086784),2020,HT,4.29,4.35,4.52,3.77,4.48,3.92,NKEA02
Allmän kemi 2 (NKEA33 2020-10-26 Lin 984558),2020,HT,4.42,4.62,4.62,4.31,4.73,4.15,NKEA33
Allmän kemi 2 (Samläsning) (NKEA04 2020-10-26 Lin 1086896),2020,HT,4.4,4.36,4.52,3.81,4.52,3.94,NKEA04
Alternative Energy Sources and their Applications (Co-learning) (TFYA85 2020-03-23 Lin 1086925),2020,VT,3.5,3.21,3.29,2.71,3.36,2.93,TFYA85
Analog and Discrete-Time Integrated Circuits (Co-learning) (TSTE08 2020-03-23 Lin 1086760),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,TSTE08
Analog CMOS Integrated Circuits (Co-learning) (TSEK37 2021-01-11 Lin 1086835),2020,HT,4.0,3.33,3.67,3.0,4.5,3.0,TSEK37
Analog elektronik (Samläsning) (TSEI01 2021-01-11 Lin 1087975),2020,HT,4.09,4.27,3.82,4.0,4.27,3.91,TSEI01
Analog elektronik 1 (TNGE20 2020-06-01 Nor 985237),2020,VT,4.83,4.83,4.83,5.0,5.0,4.83,TNGE20
Analog elektronik 2 (TNGE25 2021-01-11 Nor 985249),2020,HT,4.0,4.2,4.0,3.3,4.25,3.8,TNGE25
Analog Filters (Co-learning) (TSEI68 2020-03-23 Lin 1101686),2020,VT,5.0,4.5,5.0,5.0,5.0,4.5,TSEI68
Analog konstruktion (Samläsning) (TSTE93 2020-06-01 Lin 1087808),2020,VT,3.5,3.67,3.83,2.33,4.33,3.33,TSTE93
Analog konstruktion fortsättningskurs (Samläsning) (TSEI12 2020-03-23 Lin 1087688),2020,VT,4.0,5.0,5.0,4.0,4.0,5.0,TSEI12
Analog/Digital System Design (TNE026 2020-06-01 Nor 992713),2020,VT,4.67,3.67,4.33,3.0,4.33,3.33,TNE026
Analys av biologiska data (NBIC58 2021-01-11 Lin 989536),2020,HT,3.0,3.2,3.2,2.5,3.3,2.7,NBIC58
Analys I (Samläsning) (TNA003 2020-03-23 Nor 1087080),2020,VT,4.39,4.28,4.0,3.83,4.27,4.0,TNA003
Analys i en variabel (NMAA06 2020-10-26 Lin 984611),2020,HT,4.75,4.75,4.5,4.5,4.5,4.25,NMAA06
Analys i en variabel (Samläsning) (TAIU10 2021-01-11 Lin 1087228),2020,HT,4.47,4.48,4.52,4.13,4.55,4.21,TAIU10
Analys II (Samläsning) (TNA004 2020-06-01 Nor 1087949),2020,VT,4.6,4.67,4.47,3.87,4.43,4.2,TNA004
Analys III (Samläsning) (TNA006 2020-10-26 Nor 1087848),2020,HT,4.34,4.34,4.26,3.51,4.45,3.86,TNA006
Analys och modellering av industriella energisystem (Samläsning) (TMES43 2020-03-23 Lin 1087872),2020,VT,4.27,3.58,3.67,3.25,3.82,3.17,TMES43
"Analys, överkurs (Samläsning) (TATA34 2021-01-11 Lin 1087573)",2020,HT,5.0,4.83,5.0,4.83,5.0,4.83,TATA34
Analysing Change (757A24 2020-03-23 Ort 934268),2020,VT,3.21,3.29,3.43,3.29,3.36,3.29,757A24
Analysis of Communication and Transport Systems (Co-learning) (TNK103 2021-01-11 Nor 1087548),2020,HT,4.0,4.17,4.42,4.17,4.25,3.92,TNK103
Analytical Chemistry (Co-learning) (TFKE30 2021-01-11 Lin 1087664),2020,HT,5.0,5.0,5.0,4.0,5.0,4.0,TFKE30
Analytical Chemistry for Medical Applications (Co-learning) (8BKG35 2020-12-12 Lin 1095745),2020,HT,3.83,4.17,4.0,3.83,4.4,3.33,8BKG35
"Analytical Environmental Chemistry (Co-learning) (746G26, 746G44 2020-09-14 Nor 934636)",2020,HT,3.5,3.75,3.75,3.33,3.75,4.0,746G26
"Analytical Environmental Chemistry (Co-learning) (746G26, 746G44 2020-09-14 Nor 934636)",2020,HT,3.5,3.75,3.75,3.33,3.75,4.0,746G44
Analytical Frameworks in Sustainability Studies (746A63 2020-03-23 Lin 934474),2020,VT,3.9,3.7,3.2,3.7,4.0,3.6,746A63
Analytical Frameworks in Sustainability Studies (746A84 2020-03-23 Lin 927862),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,746A84
Analytical Frameworks in Sustainability Studies (746A84 2020-03-23 Lin 927864),2020,VT,4.0,5.0,4.0,5.0,4.0,4.0,746A84
Analytical Mechanics (Co-learning) (TFYA40 2020-10-26 Lin 1087730),2020,HT,5.0,4.4,5.0,4.0,5.0,4.6,TFYA40
Analytical Methods in Materials Science (Co-learning) (TFFM40 2020-06-01 Lin 1087958),2020,VT,3.78,3.78,3.89,3.67,3.11,3.67,TFFM40
Analytical Techniques in Experimental Biosciences (8MEA02 2020-10-24 Lin 937568),2020,HT,3.55,3.36,3.85,3.05,3.7,3.27,8MEA02
Analytical Tools (757A23 2021-01-18 Ort 1353858),2020,HT,3.43,3.43,3.86,3.14,3.86,3.0,757A23
Analytical Tools (757A23 2021-01-18 Ort 933790),2020,HT,3.83,3.67,4.0,3.67,4.17,3.67,757A23
Analytisk kemi - Kromatografi (Samläsning) (NKEB10 2020-03-23 Lin 1087310),2020,VT,5.0,4.83,4.83,4.83,5.0,4.83,NKEB10
Analytisk kemi S (Samläsning) (NKEB03 2021-01-11 Lin 1087929),2020,HT,4.5,4.5,4.5,3.5,4.67,4.0,NKEB03
Analytisk kemi T (Samläsning) (NKEB05 2020-06-01 Lin 1087321),2020,VT,5.0,3.5,4.0,3.5,4.0,3.5,NKEB05
Anatomi och fysiologi (TBME11 2020-10-26 Lin 984322),2020,HT,4.33,3.47,4.07,3.33,4.14,3.53,TBME11
Anatomi och fysiologi under utveckling och åldrande med relevans för logopedi (8LOG27 2020-06-01 Lin 924396),2020,VT,4.43,4.0,4.29,4.0,4.29,4.43,8LOG27
"Anatomi, fysiologi och patologi inom logopedi (8LOG13 2021-01-11 Lin 937404)",2020,HT,4.31,4.56,4.44,4.25,4.5,4.44,8LOG13
Anatomy and Physiology (Co-learning) (TBME04 2020-10-26 Lin 1087684),2020,HT,4.4,4.2,4.1,4.4,4.4,4.3,TBME04
Anestesiologi under specifika förutsättningar (8ANA05 2020-06-01 Jön 1102302),2020,VT,5.0,2.0,3.0,1.0,3.0,3.0,8ANA05
Anestesiologi under specifika förutsättningar (8ANA05 2020-06-01 Lin 1102300),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,8ANA05
